Course/Section,Section Title,Days Met,Start Time,End Time,Room,Instructor,Term,Status,Max Enrollment,Course Offering Id
MKTG 335/504 LEC,PROFESSIONAL SELLING,MW,9:10 AM,10:00 AM,WCBA 114,Loring,202411 (CS Spring) - View Only,Scheduled,20,30159
MKTG 335/504 REC,PROFESSIONAL SELLING,F,11:30 AM,12:20 PM,,Loring,202411 (CS Spring) - View Only,Unassigned,20,30159
MKTG 335/505 LEC,PROFESSIONAL SELLING,MW,9:10 AM,10:00 AM,WCBA 114,Loring,202411 (CS Spring) - View Only,Scheduled,20,43003
MKTG 335/505 REC,PROFESSIONAL SELLING,F,11:30 AM,12:20 PM,,Loring,202411 (CS Spring) - View Only,Unassigned,20,43003
MKTG 336/502 LEC,MANAGING B2B RELATIONSHIPS,TR,9:35 AM,10:50 AM,WCBA 108,Lewis,202411 (CS Spring) - View Only,Scheduled,30,42445
MKTG 337/500 LEC,SELLING FINC PRODUCTS & SERVIC,MW,2:20 PM,3:35 PM,WCBA 182,Garey,202411 (CS Spring) - View Only,Scheduled,40,45805
MKTG 347/501 LEC,ADV CREATIVE MKTG COMM,MW,11:10 AM,12:25 PM,WCBA 108,Olson,202411 (CS Spring) - View Only,Scheduled,35,15434
MKTG 347/502 LEC,ADV CREATIVE MKTG COMM,MW,9:35 AM,10:50 AM,WCBA 108,Olson,202411 (CS Spring) - View Only,Scheduled,35,15435
MKTG 401/500 LEC,GLOBAL MARKETING,TR,11:10 AM,12:25 PM,WCBA 108,Lewis,202411 (CS Spring) - View Only,Scheduled,30,41568
MKTG 401/501 LEC,GLOBAL MARKETING,TR,12:45 PM,2:00 PM,WCBA 108,Lewis,202411 (CS Spring) - View Only,Scheduled,30,50572
MKTG 404/500 LEC,DATA VISUALIZATION MKTG,TR,11:10 AM,12:25 PM,WCBA 286,Ramani,202411 (CS Spring) - View Only,Scheduled,40,42427
MKTG 404/501 LEC,DATA VISUALIZATION MKTG,TR,12:45 PM,2:00 PM,WCBA 286,Ramani,202411 (CS Spring) - View Only,Scheduled,40,43895
MKTG 409/598 LEC,PRINCIPLES OF MARKETING,,,,,Troy,202411 (CS Spring) - View Only,Incomplete,450,21667
